dataset,predictive,split_method,fold,pearson,kendall_tau,rmse,overlap
kinodata,assay,random,1,0.7726923812350063,0.5758248037834417,0.7976106477931147,88.5834459966952
kinodata,assay,random,2,0.775351057834149,0.5785179178451062,0.7988450089488215,88.69209809264305
kinodata,assay,random,3,0.7683424560069401,0.572734345441905,0.8057790849247846,88.09773647129366
kinodata,assay,random,4,0.7685511142679814,0.5748866358054208,0.8074203070591951,88.50158442734269
kinodata,assay,random,5,0.7743387762442847,0.5779353232667097,0.7988562411790898,87.90766939687268
kinodata,assay,random,6,0.7705005412411975,0.5729442123981099,0.802859344566302,87.77678037103531
kinodata,assay,random,7,0.7707712260040701,0.5741550561761164,0.8038123310347683,88.44138344063482
kinodata,assay,random,8,0.7702925748706179,0.5735996376989307,0.8032332645518595,87.67595088349806
kinodata,assay,random,9,0.7725868581740504,0.5771403400998328,0.7990566847225009,88.47129008202835
kinodata,assay,random,10,0.7669759819298964,0.5724594773961802,0.8125916272021458,87.80193236714976
kinodata,assay,scaffold,1,0.750005388946343,0.5507712541625993,0.8700374432064366,81.70379537953795
kinodata,assay,scaffold,2,0.7029003793581852,0.5134196659640786,0.8903182777229633,80.37698412698413
kinodata,assay,scaffold,3,0.7272682143963357,0.5363714854048263,0.87917629910212,82.50694168980563
kinodata,assay,scaffold,4,0.7031442796071716,0.5132257936832265,0.8847581936750224,82.55006940313305
kinodata,assay,scaffold,5,0.737821062041498,0.5466631338969712,0.8702845476450427,82.87671232876713
kinodata,assay,scaffold,6,0.6868872007256992,0.49798335669385724,0.9015027850787811,80.51744413955312
kinodata,assay,scaffold,7,0.7146915669430014,0.5213866851758777,0.8789531090513043,82.40458015267176
kinodata,assay,scaffold,8,0.7279787560917367,0.5338279242417993,0.8617457230421298,83.47225045741004
kinodata,assay,scaffold,9,0.7377747047067494,0.5406786830771125,0.8636210095608753,82.47205230963932
kinodata,assay,scaffold,10,0.7253552159129352,0.5259388711711768,0.862014852877217,79.92238562091504
kinodata,assay,butina,1,0.721903973167379,0.5224150884854487,0.8515274938403803,83.08770234356125
kinodata,assay,butina,2,0.7246745750385117,0.5303404545647665,0.8699508224240646,80.61511804201864
kinodata,assay,butina,3,0.7082775887676743,0.514006407958409,0.8893456437383336,81.75475687103594
kinodata,assay,butina,4,0.7205813257133977,0.5214110272429694,0.882386398760481,75.67624683009299
kinodata,assay,butina,5,0.7255934715505423,0.5302070900648362,0.8985318546474321,78.38716229941093
kinodata,assay,butina,6,0.734295931721545,0.5334182246380356,0.8557381128332006,82.20910623946037
kinodata,assay,butina,7,0.7137366141415494,0.5184970860862386,0.8947596780211665,80.56989469337188
kinodata,assay,butina,8,0.7295192514403278,0.5268196308101685,0.8709520966420626,82.50992501102779
kinodata,assay,butina,9,0.7100824256108872,0.5123048516304898,0.8747637802605706,82.3037323037323
kinodata,assay,butina,10,0.7244973499635173,0.5278813323215682,0.8815099273483824,81.32113367551885
kinodata,scaffold,random,1,0.6560456358820785,0.46170094562907393,0.9531297241412463,79.09800520381613
kinodata,scaffold,random,2,0.6657634331664378,0.47238998144254113,0.9487687672802998,80.05287896592245
kinodata,scaffold,random,3,0.6502202267035047,0.4590089704375195,0.96325408695476,79.67314573058698
kinodata,scaffold,random,4,0.652522020982006,0.4598092122941116,0.9622614403873265,78.7462801190362
kinodata,scaffold,random,5,0.6537179292176141,0.46079301056822414,0.9601483853669237,79.47154471544715
kinodata,scaffold,random,6,0.6512712839723142,0.4571896447047211,0.961451111733245,79.15020714905097
kinodata,scaffold,random,7,0.6539239534997492,0.46064731493873373,0.9600835683279608,79.21126217336804
kinodata,scaffold,random,8,0.6572870368085996,0.46250767949067656,0.9558070234730176,78.95250170681751
kinodata,scaffold,random,9,0.6643056493661313,0.47015725888274545,0.9452459579046633,79.25189947399181
kinodata,scaffold,random,10,0.6515102058609776,0.4600445051857522,0.9660936196622487,78.68083476928967
kinodata,scaffold,target,1,0.39907885869431137,0.25908814271154157,1.169264616350042,57.897981198952074
