dataset,predictive,split_method,fold,pearson,kendall_tau,rmse,overlap
landrum,assay,random,1,0.8078871572092844,0.6112758775788765,0.7624021004225262,100.0
landrum,assay,random,2,0.8055587591369209,0.6095932504770343,0.7636638411727299,100.0
landrum,assay,random,3,0.8043763731553489,0.6078515923920824,0.759044351571591,100.0
landrum,assay,random,4,0.8076919616592619,0.6115212420526144,0.7536409971833398,100.0
landrum,assay,random,5,0.8085015909898647,0.6131185786134897,0.7616535971646509,100.0
landrum,assay,random,6,0.8092091724433689,0.6130187957271407,0.7609831665238598,100.0
landrum,assay,random,7,0.8072660794647663,0.6106475464210652,0.7606703535976134,100.0
landrum,assay,random,8,0.8084898790115558,0.6137567220749636,0.7594086566602641,100.0
landrum,assay,random,9,0.8093378962653015,0.6124919939967318,0.7611958552791578,100.0
landrum,assay,random,10,0.810911301239107,0.6151171842910232,0.7518003477239216,100.0
landrum,assay,scaffold,1,0.7584786312034787,0.5598878838399046,0.8333279213594773,99.73656480505795
landrum,assay,scaffold,2,0.7690750970491917,0.5710457841831404,0.8319886240120046,99.91208018287323
landrum,assay,scaffold,3,0.7692604089441862,0.5719835161990549,0.8280718585859791,99.87268097489996
landrum,assay,scaffold,4,0.7584656348156151,0.5628923284554167,0.8408035420083335,99.80496453900709
landrum,assay,scaffold,5,0.7723737130020947,0.5722103951877554,0.8326970889886033,99.85800496982606
landrum,assay,scaffold,6,0.7594608939860168,0.562636751317443,0.8416133993234366,99.85721934677852
landrum,assay,scaffold,7,0.7555854099292569,0.5597505467295907,0.8387956262212429,99.82272646693848
landrum,assay,scaffold,8,0.7711765805888506,0.5731974486281105,0.8299585442081353,99.76220962136455
landrum,assay,scaffold,9,0.7796503868871206,0.5859717674249665,0.8159871671286345,99.96427933559563
landrum,assay,scaffold,10,0.761230424979994,0.560185147675864,0.8394212609169551,99.71504897595726
landrum,assay,butina,1,0.7773981297881667,0.5797206219277864,0.8165871441427806,99.88698436617065
landrum,assay,butina,2,0.7665897884120483,0.5701036973842287,0.8274607960810928,99.79473782422093
landrum,assay,butina,3,0.7575790913675517,0.5592523734096785,0.8381721775450284,99.75517890772127
landrum,assay,butina,4,0.7569222737661939,0.557273045503162,0.8368629437288633,99.89161849710982
landrum,assay,butina,5,0.7443791400505002,0.5515200858044326,0.8698542548183169,99.85291413862842
