dataset,predictive,split_method,fold,pearson,kendall_tau,rmse,overlap
omnivore,assay,random,1,0.7992968763512175,0.6103053065918813,0.8080159724038276,91.40649063366281
omnivore,assay,random,2,0.8012177940655845,0.6115726705330591,0.80729069142508,91.40701685503547
omnivore,assay,random,3,0.7990778588984834,0.6093870962411919,0.8128622318742859,91.00619108706564
omnivore,assay,random,4,0.7991703959392233,0.6094149654755459,0.8085529429071397,91.26637554585153
omnivore,assay,random,5,0.7990415440653849,0.609836648664739,0.8105859465253611,91.33518347209375
omnivore,assay,random,6,0.8003535130792875,0.6112133793908325,0.8114011269420283,91.23293037832998
omnivore,assay,random,7,0.7991597079544993,0.6094021714474218,0.8148683879075038,91.02942815739605
omnivore,assay,random,8,0.8000899354843092,0.6104788329925134,0.811614978463036,91.2103018740882
omnivore,assay,random,9,0.8001029627601641,0.6109203958951632,0.8086416556222822,91.22423835125448
omnivore,assay,random,10,0.7989044105475093,0.6098493896548972,0.812338609632506,91.25175413976986
omnivore,assay,scaffold,1,0.7556809992642926,0.5621693769156612,0.8921842155375008,86.44825323929801
omnivore,assay,scaffold,2,0.74850898368542,0.5585752427081346,0.900667397029077,85.74052364204768
omnivore,assay,scaffold,3,0.746274745400703,0.557940925492419,0.9101337958528095,84.75226383012377
omnivore,assay,scaffold,4,0.7186254522661095,0.5341180097925675,0.9469678502474256,81.1637247291505
omnivore,assay,scaffold,5,0.7514679653041482,0.5593502832687041,0.8917838899262953,86.02737589205631
omnivore,assay,scaffold,6,0.7582189313894765,0.5673697948525729,0.8826273008478372,86.23544941797672
omnivore,assay,scaffold,7,0.748229384452419,0.556012999488482,0.897333145911721,85.27651139742319
omnivore,assay,scaffold,8,0.7533841261740736,0.5640158179862441,0.8899005534901578,86.11815014254039
omnivore,assay,scaffold,9,0.7562962081848363,0.5632534278045854,0.8826477825403412,86.46764175515929
omnivore,assay,scaffold,10,0.761197751012008,0.5704194656552104,0.8802964457849993,86.10451768551306
omnivore,assay,butina,1,0.7552985376188884,0.5659546036766756,0.895223867003733,85.80198639242981
omnivore,assay,butina,2,0.75324951113954,0.5623240158820099,0.8902927759460666,85.97808597042372
omnivore,assay,butina,3,0.7618176515364965,0.5695305822390557,0.8733961550962881,86.2070327933623
omnivore,assay,butina,4,0.7266233758138607,0.5390673888004405,0.9245186804211516,82.89712556732223
omnivore,assay,butina,5,0.7505325176832475,0.5617739338170117,0.8996108128006102,86.29332514489694
omnivore,assay,butina,6,0.7559418305367511,0.5681307441690024,0.9040128321353225,86.31777048130054
omnivore,assay,butina,7,0.7616407331413799,0.5704057417467141,0.8728255915129216,86.255019681126
omnivore,assay,butina,8,0.758875302572245,0.570053950020804,0.8874892812637996,86.25394321766562
omnivore,assay,butina,9,0.7414417661081267,0.5511528189924045,0.9020942984238738,86.25309569242012
omnivore,assay,butina,10,0.7454387498653383,0.558275370900358,0.9010097523021673,84.46914647079619
omnivore,scaffold,random,1,0.6525412989209409,0.465620820185233,1.0231855599914423,82.54902828810484
omnivore,scaffold,random,2,0.6493446398180098,0.46308360100803675,1.0308781395650395,82.490599424906
omnivore,scaffold,random,3,0.6540742000970438,0.46813220522099136,1.0266527660854166,82.53002686321959
omnivore,scaffold,random,4,0.6500847618393546,0.46443463229431875,1.026804311510472,82.30531656739466
omnivore,scaffold,random,5,0.6512639453771135,0.4647436459225022,1.0274760801789715,82.48909835704532
omnivore,scaffold,random,6,0.6546641357847756,0.46681076449049114,1.027073319508492,82.43255196815569
omnivore,scaffold,random,7,0.6546739306906746,0.4672025550376511,1.0286578433690752,82.80428561921875
omnivore,scaffold,random,8,0.6582122895951982,0.46968275814653543,1.0225063035119435,82.30970198822124
omnivore,scaffold,random,9,0.6521513802149086,0.46535582217748284,1.026217601699428,82.31914799593442
omnivore,scaffold,random,10,0.6505803063231654,0.4645728203702042,1.0299609027249026,82.1063145044945
omnivore,scaffold,target,1,0.30713434964275593,0.2051657579621718,1.3736522016716446,57.34510841551837
omnivore,scaffold,target,2,0.3190923450191665,0.2153685623571006,1.3333612821566048,52.60647979614125
omnivore,scaffold,target,3,0.37349136999434024,0.2509372059269657,1.2919441040233277,57.29249686895138
omnivore,scaffold,target,4,0.3633283989957689,0.2503316914082595,1.3184746473315094,54.73653158302297
omnivore,scaffold,target,5,0.34250436582731525,0.23104561446555585,1.3607032749911174,63.51716012314241
omnivore,scaffold,target,6,0.40440566624665575,0.28089888846490346,1.3429252494862371,54.63106620963377
omnivore,scaffold,target,7,0.3318442906529196,0.22720351517917625,1.3900860146006904,53.08024551034326
omnivore,scaffold,target,8,0.3511382134988109,0.23897657001911637,1.3185363292612708,54.98001960340798
omnivore,scaffold,target,9,0.35299955599305827,0.2291992015057929,1.3059552159812287,57.59214669383219
omnivore,scaffold,target,10,0.31852227554278784,0.22246099230014083,1.3164070493194886,56.584172457807405
omnivore,scaffold,butina,1,0.504717840514401,0.3420686782417532,1.1802035004689506,40.08465081538653
omnivore,scaffold,butina,2,0.46829975860112005,0.3228165389722753,1.1989677170321933,40.244925348095954
omnivore,scaffold,butina,3,0.4992841896291196,0.3443234256640249,1.1705419005235753,41.243801652892564
omnivore,scaffold,butina,4,0.464937089492189,0.31711146296344633,1.1905063809268632,40.30386619379132
omnivore,scaffold,butina,5,0.4739183278977279,0.32267828629550216,1.2005419335281484,40.27602986827754
omnivore,scaffold,butina,6,0.4858083342285595,0.3351484068220624,1.2099277385545961,40.080069338396136
omnivore,scaffold,butina,7,0.4845738871942683,0.3320515507725989,1.178620647055848,39.86719034700571
omnivore,scaffold,butina,8,0.49522235979508994,0.3346474824322698,1.1862031223810279,40.47948944031574
omnivore,scaffold,butina,9,0.46881514809677377,0.31902735838749324,1.1915402781480076,40.136082993825866
omnivore,scaffold,butina,10,0.4834641859400648,0.3319380374746409,1.184222495864557,40.622673731225646
omnivore,target,random,1,0.5536431395996817,0.379147549459907,1.117961030731244,98.20143884892086
omnivore,target,random,2,0.5576663630102554,0.38199232711776404,1.1180067068764714,98.16154309825195
omnivore,target,random,3,0.5595588921432276,0.3841125387512525,1.1184688611820908,98.55682501503308
omnivore,target,random,4,0.5559365890652558,0.3806570436745411,1.116291237472411,98.09410363311495
omnivore,target,random,5,0.5541533235332894,0.3787354193719013,1.1201207008367369,98.87844801454987
omnivore,target,random,6,0.5550201842473468,0.3803412522169215,1.1242297810106452,97.83263094521372
omnivore,target,random,7,0.5557800322337243,0.38006232684819813,1.1252059524610722,97.99701046337817
omnivore,target,random,8,0.5556183466612458,0.3806953160210606,1.1230595068533704,98.17295980511571
omnivore,target,random,9,0.5545974766359621,0.38046882886572053,1.1202230692607333,98.07980798079808
omnivore,target,random,10,0.5582210110502234,0.3820786797337474,1.1187551944133107,97.6687859521647
omnivore,target,scaffold,1,0.5431643094446545,0.3702702766404777,1.136987416696572,97.25433526011561
omnivore,target,scaffold,2,0.5369816602255405,0.36662398024893605,1.1365011655132473,97.64150943396226
omnivore,target,scaffold,3,0.5367412191179474,0.369616307535134,1.146727650297738,94.93103448275862
omnivore,target,scaffold,4,0.5057825845244474,0.3448495875910148,1.1670533045801559,95.45304777594728
omnivore,target,scaffold,5,0.5431288181251578,0.36949547278504513,1.1283581808636707,97.35985533453888
omnivore,target,scaffold,6,0.5453157081065153,0.373881990338066,1.128332747828729,96.56915854098953
omnivore,target,scaffold,7,0.5370271634513554,0.3636396307854297,1.1344489700342777,97.30123997082421
omnivore,target,scaffold,8,0.5475596064792744,0.3707635546051674,1.1252270786177845,96.97080291970804
omnivore,target,scaffold,9,0.543263758806489,0.37132899752021997,1.1261208185674463,97.46652189648933
omnivore,target,scaffold,10,0.5364879041847466,0.36702735492202004,1.1382619454504013,97.63292061179898
omnivore,target,butina,1,0.5520036590006641,0.37917381067196076,1.1327881254582757,96.90358902181563
omnivore,target,butina,2,0.5341914086432752,0.36400250813248225,1.1358376573295064,97.08703374777976
omnivore,target,butina,3,0.5471966462118244,0.3709420066372291,1.122801979804848,97.86324786324786
omnivore,target,butina,4,0.514617964939096,0.34999711984868487,1.1445974373665946,96.45051194539249
omnivore,target,butina,5,0.5345075340809118,0.36667578194994327,1.1434832363987564,97.08404802744425
omnivore,target,butina,6,0.5279355219908954,0.3647571530578219,1.1678321970584538,97.80375487070494
omnivore,target,butina,7,0.5407937269257241,0.36789242398028194,1.1276789631284623,96.72359707215058
omnivore,target,butina,8,0.5503428093233431,0.37939147362135095,1.1316389178844821,97.76039815143974
omnivore,target,butina,9,0.5227957805437893,0.35254410998481656,1.1405899702158453,96.58089531194925
omnivore,target,butina,10,0.5333014117997616,0.3655099228145502,1.1370797021441867,96.94602272727273
